,invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Percentage of sales per store
10,S30600400007,2016-02-09 00:00:00,4559,Osage Payless Foods,"633, CHASE ST",OSAGE,50461.0,POINT (-92.811539 43.285134),66,Mitchell,1031100,100 PROOF VODKA,297,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,30,324.0,52.5,13.87,0.5288398917641022
11,S30624700060,2016-02-09 00:00:00,5166,East Side Liquor and Groceries,1116 E NEVADA ST,MARSHALLTOWN,50158.0,POINT (-92.893113 42.044345),64,Marshall,1052100,,420,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27,0.33728233096954957
12,S30700500137,2016-02-11 00:00:00,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT (-93.613739 41.60572),77,Polk,1052100,,420,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,18.99,28.49,60,1709.4,45.0,11.89,2.790120095622087
13,S30696800117,2016-02-11 00:00:00,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131.0,POINT (-93.697731 41.665172),77,Polk,1031100,100 PROOF VODKA,421,"Sazerac Co., Inc.",38089,Platinum 7x Vodka,48,100,0.89,1.34,48,64.32,4.8,1.27,0.10498451184650323
14,S30703100053,2016-02-15 00:00:00,3494,Sam's Club 6514 / Waterloo,210 EAST TOWER PARK DR,WATERLOO,50702.0,POINT (-92.353103 42.456374),7,Black Hawk,1081700,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.77,768,5199.36,768.0,202.88,8.486509196427784
15,S30778800020,2016-02-17 00:00:00,3772,Shop N Save #1 / Mlk Pkwy,2127 M L KING JR PKWY,DES MOINES,50314.0,,77,Polk,1052100,,389,REMY COINTREAU USA         .,49182,Remy Martin VSOP,24,100,3.24,4.86,24,116.64,2.4,0.63,0.19038236103507677
16,S30812800004,2016-02-18 00:00:00,5063,Logan Convenience Store,"735, LOGAN AVE",WATERLOO,50703.0,POINT (-92.337744 42.510453),7,Black Hawk,1031100,100 PROOF VODKA,255,Wilson Daniels Ltd.,37880,Seagrams Extra Smooth,24,200,1.76,2.64,24,63.36,4.8,1.27,0.10341757883386886
17,S30849100007,2016-02-22 00:00:00,4898,Burlington Shell,"130, S ROOSEVELT AVE",BURLINGTON,52601.0,POINT (-91.140986 40.808239),29,Des Moines,1052100,,420,"Moet Hennessy USA, Inc.",48099,Hennessy VS,24,200,5.74,8.61,24,206.64,4.8,1.27,0.33728233096954957
18,S30824400027,2016-02-24 00:00:00,3447,Sam's Club 6432 / Sioux City,4201 S. YORK ST.,SIOUX CITY,51106.0,POINT (-96.37082 42.43407),97,Woodbury,1081400,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,144,522.72,144.0,38.04,0.8531950253794182
19,S30983900023,2016-02-29 00:00:00,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317.0,POINT (-93.573845 41.604312),77,Polk,1051140,PEACH BRANDIES,115,"Constellation Wine Company, Inc.",56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,24,70.56,4.8,1.27,0.1151695764286267
20,S30972000014,2016-02-29 00:00:00,4153,Fareway Stores #067 / Evansdale,215 S EVANS RD,EVANSDALE,50707.0,POINT (-92.287834 42.475631),7,Black Hawk,1012300,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.99,22.49,60,1349.4,45.0,11.89,2.202520215884196
21,S30984900084,2016-02-29 00:00:00,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT (-91.53046300000001 41.642764),52,Johnson,1011500,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.09,27.14,18,488.52,13.5,3.57,0.7973730368043185
